,Planet Name,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
10,24 Sex c,1,2,2010,0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,0.28,-0.22,0.0,1.24,0.025,-0.02,0.0,273.32,111.24,-69.92,0.0,0.86,0.35,-0.22,0.0,3,0.29,0.16,-0.09,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,1.0,3.5,0.1,-0.1,0.0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
11,2M0437 b,1,1,2021,0,11.558337715,0.0001,-0.0001,0.0,118.0,1.3,-1.3,0.0,13.0,0.28,-0.22,0.0,1.16,0.025,-0.02,0.0,1271.31363,317.82841,-317.82841,0.0,4.0,1.0,-1.0,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,1450.0,50.0,-50.0,0.0,0,3100.0,100.0,-100.0,0.0,0.84,0.11,-0.11,0.0,0.17,0.01,-0.02,0.0,0.01,0.05,-0.05,0.0,1.0,4.5,0.5,-0.5,0.0,69.3405531,26.8502997,128.484,1.196,-1.174,16.186,1.133,-1.133,10.386,0.018,-0.018,14.3374,0.000772,-0.000772
12,2MASS J01033563-5515561 AB b,2,1,2013,0,11.558337715,0.0001,-0.0001,0.0,84.0,0.003,-0.003,0.0,12.3,0.28,-0.22,0.0,1.1,0.025,-0.02,0.0,4131.79,317.83,-317.83,0.0,13.0,1.0,-1.0,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5558.5,88.0,-88.0,0.0,0.96,0.06,-0.05,0.0,0.19,0.02,-0.02,0.0,0.02,0.1,-0.1,0.0,1.0,4.45,0.06,-0.08,0.0,15.8992489,-55.2658291,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022,-0.022,13.2865,0.000364,-0.000364
13,2MASS J01225093-2439505 b,1,1,2013,0,11.558337715,0.0001,-0.0001,0.0,52.0,6.0,-6.0,0.0,11.209,0.28,-0.22,0.0,1.0,0.025,-0.02,0.0,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,1600.0,100.0,-100.0,0.0,0,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0.0,0.02,0.1,-0.1,0.0,1.0,4.86,0.0,0.0,0.0,20.7128012,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151
14,2MASS J02192210-3925225 b,1,1,2015,0,11.558337715,0.0001,-0.0001,0.0,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,0.02,0.1,-0.1,0.0,1.0,4.59,0.06,-0.06,0.0,34.8427046,-39.4230767,40.0896412,0.1940496,-0.1940496,13.5035,0.08,-0.08,10.404,0.025,-0.025,15.0123,0.000624,-0.000624
15,2MASS J04414489+2301513 b,1,1,2010,0,11.558337715,0.0001,-0.0001,0.0,15.0,0.003,-0.003,0.0,12.6,0.28,-0.22,0.0,1.13,0.025,-0.02,0.0,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,2936.0,182.0,-182.0,0.0,0.23,0.01,-0.01,0.0,0.02,0.05,-0.05,0.0,0.02,0.1,-0.1,0.0,1.0,5.01,0.0,0.0,0.0,70.4371079,23.0308544,120.423987,5.4783417,-5.4783417,13.5035,0.08,-0.08,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
16,2MASS J12073346-3932539 b,1,1,2004,0,11.558337715,0.0001,-0.0001,0.0,55.0,0.003,-0.003,0.0,12.9,0.28,-0.22,0.0,1.15,0.025,-0.02,0.0,1589.15,635.66,-635.66,0.0,5.0,2.0,-2.0,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,1250.0,200.0,-200.0,0.0,0,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.02,0.05,-0.05,0.0,0.02,0.1,-0.1,0.0,1.0,5.03,0.02,-0.02,0.0,181.8890906,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,-0.08,11.945,0.026,-0.026,17.4076,0.002154,-0.002154
17,2MASS J19383260+4603591 b,2,3,2015,0,406.0,4.0,-4.0,0.0,0.92,0.02,-0.02,0.0,13.4,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,603.877,31.783,-31.783,0.0,1.9,0.1,-0.1,0.0,4,0.33,0.05,-0.05,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,29564.0,88.0,-88.0,0.0,0.2,0.0,0.0,0.0,0.48,0.05,-0.05,0.0,-0.092,0.1,-0.1,0.0,1.0,5.51,0.01,-0.01,0.0,294.6359173,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687
18,2MASS J22362452+4751425 b,1,1,2016,0,11.558337715,0.0001,-0.0001,0.0,230.0,20.0,-20.0,0.0,12.3,0.28,-0.22,0.0,1.1,0.025,-0.02,0.0,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4045.0,35.0,-35.0,0.0,0.64,0.06,-0.06,0.0,0.6,0.05,-0.05,0.0,0.02,0.1,-0.1,0.0,1.0,4.62,0.09,-0.13,0.0,339.1025931,47.861683,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018,-0.018,11.9484,0.000737,-0.000737
19,30 Ari B b,4,1,2009,0,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,12.3,0.28,-0.22,0.0,1.1,0.025,-0.02,0.0,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,3,0.29,0.09,-0.09,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,0.1,-0.1,0.0,1.0,4.43,0.05,-0.05,0.0,39.2412736,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
