,Planet Name,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
1121,HD 74156 b,1,2,2003,0,51.63564,0.001,-0.00113,0.0,0.28,0.011,-0.012,0.0,13.5,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,532.36258,43.22466,-45.44946,0.0,1.675,0.136,-0.143,0.0,3,0.636,0.008,-0.005,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6068.0,44.0,-44.0,0.0,1.51,0.03,-0.03,0.0,1.1,0.14,-0.14,0.0,0.11,0.03,-0.03,0.0,1.0,4.14,0.03,-0.03,0.0,130.6047813,4.5772338,57.603,0.1613,-0.1604,7.61,0.03,-0.03,6.209,0.021,-0.021,7.46934,0.000235,-0.000235
1122,HD 74156 c,1,2,2003,0,2448.48726,4.19249,-4.24759,0.0,3.678,0.145,-0.159,0.0,12.5,0.28,-0.22,0.0,1.12,0.025,-0.02,0.0,2753.98315,440.19234,-149.37935,0.0,8.665,1.385,-0.47,0.0,4,0.377,0.006,-0.006,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6068.0,44.0,-44.0,0.0,1.51,0.03,-0.03,0.0,1.1,0.14,-0.14,0.0,0.131,0.03,-0.03,0.0,1.0,4.14,0.03,-0.03,0.0,130.6047813,4.5772338,57.603,0.1613,-0.1604,7.61,0.03,-0.03,6.209,0.021,-0.021,7.46934,0.000235,-0.000235
1123,HD 7449 b,2,1,2011,0,1270.55195,10.75633,-7.38672,0.0,2.438,0.062,-0.063,0.0,12.6,0.28,-0.22,0.0,1.12,0.025,-0.02,0.0,2597.9294,970.96578,-857.81887,0.0,8.174,3.055,-2.699,0.0,4,0.752,0.035,-0.032,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6024.0,13.0,-13.0,0.0,0.97,0.02,-0.02,0.0,1.2,0.09,-0.09,0.0,-0.105,0.007,-0.007,0.0,2.0,4.52,0.01,-0.01,0.0,18.621465,-5.0479716,38.662,0.065,-0.0648,7.5,0.03,-0.03,6.084,0.029,-0.029,7.34996,0.000284,-0.000284
1124,HD 74698 b,1,2,2023,0,15.017,0.002,-0.002,0.0,0.121,0.001,-0.001,0.0,5.12,0.28,-0.22,0.0,0.457,0.025,-0.02,0.0,23.0,3.0,-3.0,0.0,0.07,0.01,-0.01,0.0,3,0.1,0.1,-0.1,0.0,123.0,2.0,-2.0,0.0,821.5,21.0,-21.0,0.0,0,5783.0,19.0,-19.0,0.0,1.33,0.01,-0.01,0.0,1.04,0.03,-0.03,0.0,0.07,0.02,-0.02,0.0,1.0,4.12,0.02,-0.02,0.0,130.0744755,-71.8768726,52.0648,0.076,-0.0758,7.78,0.03,-0.03,6.23,0.027,-0.027,7.60959,0.000228,-0.000228
1125,HD 74698 c,1,2,2023,0,3449.0,189.0,-210.0,0.0,4.5,0.2,-0.2,0.0,14.0,0.28,-0.22,0.0,1.24,0.025,-0.02,0.0,126.0,19.0,-19.0,0.0,0.4,0.06,-0.06,0.0,3,0.2,0.2,-0.1,0.0,0.09,0.01,-0.01,0.0,821.5,21.0,-21.0,0.0,0,5783.0,19.0,-19.0,0.0,1.33,0.01,-0.01,0.0,1.04,0.03,-0.03,0.0,0.07,0.02,-0.02,0.0,1.0,4.12,0.02,-0.02,0.0,130.0744755,-71.8768726,52.0648,0.076,-0.0758,7.78,0.03,-0.03,6.23,0.027,-0.027,7.60959,0.000228,-0.000228
1126,HD 75289 b,2,1,1999,0,3.50927,6.4e-05,-6.4e-05,0.0,0.05,0.0,0.0,0.0,14.2,0.28,-0.22,0.0,1.27,0.025,-0.02,0.0,155.7367,9.5349,-9.5349,0.0,0.49,0.03,-0.03,0.0,3,0.03,0.03,-0.03,0.0,98.435,6.43,-5.6,0.0,1260.0,21.0,-21.0,0.0,0,6117.0,16.0,-16.0,0.0,1.23,0.02,-0.02,0.0,1.29,0.1,-0.1,0.0,0.26,0.1,-0.1,0.0,1.0,4.37,0.03,-0.03,0.0,131.9181715,-41.7377748,29.1158,0.024,-0.024,6.35,0.03,-0.03,5.012,0.02,-0.02,6.21047,0.0004358,-0.0004358
1127,HD 75784 b,1,2,2014,0,341.2,1.1,-1.1,0.0,1.032,0.066,-0.066,0.0,13.8,0.28,-0.22,0.0,1.23,0.025,-0.02,0.0,317.83,44.4962,-44.4962,0.0,1.0,0.14,-0.14,0.0,3,0.097,0.063,-0.063,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4867.0,88.0,-88.0,0.0,3.4,0.06,-0.05,0.0,1.26,0.05,-0.05,0.0,0.25,0.03,-0.03,0.0,1.0,3.46,0.06,-0.08,0.0,133.0992289,13.2330548,85.4321,0.52555,-0.52555,7.84,0.03,-0.03,5.502,0.024,-0.024,7.5599,0.00019,-0.00019
1128,HD 75784 c,1,2,2018,0,7900.0,2000.0,-2000.0,0.0,8.4,1.4,-1.4,0.0,12.8,0.28,-0.22,0.0,1.14,0.025,-0.02,0.0,1792.5612,228.8376,-228.8376,0.0,5.64,0.72,-0.72,0.0,3,0.489,0.092,-0.092,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4867.0,88.0,-88.0,0.0,3.4,0.06,-0.05,0.0,1.26,0.05,-0.05,0.0,0.28,0.1,-0.1,0.0,1.0,3.46,0.06,-0.08,0.0,133.0992289,13.2330548,85.4321,0.52555,-0.52555,7.84,0.03,-0.03,5.502,0.024,-0.024,7.5599,0.00019,-0.00019
1129,HD 75898 b,1,1,2007,0,422.9,0.29,-0.29,0.0,1.191,0.073,-0.073,0.0,13.2,0.28,-0.22,0.0,1.18,0.025,-0.02,0.0,861.3193,114.4188,-114.4188,0.0,2.71,0.36,-0.36,0.0,3,0.11,0.01,-0.01,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5963.0,88.0,-88.0,0.0,1.58,0.11,-0.11,0.0,1.26,0.23,-0.23,0.0,0.28,0.1,-0.1,0.0,1.0,4.21,0.07,-0.07,0.0,133.4611999,33.0566885,78.0505,0.304,-0.3016,8.03,0.03,-0.03,6.662,0.026,-0.026,7.89597,0.000232,-0.000232
1130,HD 76700 b,1,1,2002,0,3.97097,0.00023,-0.00023,0.0,0.05,0.0,0.0,0.0,9.6,0.28,-0.22,0.0,0.856,0.025,-0.02,0.0,66.7443,9.5349,-9.5349,0.0,0.21,0.03,-0.03,0.0,3,0.09,0.08,-0.08,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5644.0,33.0,-33.0,0.0,1.37,0.03,-0.03,0.0,0.99,0.17,-0.17,0.0,0.31,0.1,-0.1,0.0,1.0,4.16,0.07,-0.07,0.0,133.4782248,-66.8004747,60.8831,0.1175,-0.1171,8.16,0.03,-0.03,6.5,0.024,-0.024,7.97348,0.000402,-0.000402
1131,HD 76920 b,1,1,2017,0,415.4,0.2,-0.2,0.0,1.149,0.017,-0.017,0.0,13.0,0.28,-0.22,0.0,1.16,0.025,-0.02,0.0,1249.0719,44.4962,-47.6745,0.0,3.93,0.14,-0.15,0.0,3,0.856,0.009,-0.009,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4698.0,100.0,-100.0,0.0,7.47,0.6,-0.6,0.0,1.17,0.2,-0.2,0.0,-0.11,0.1,-0.1,0.0,1.0,2.94,0.15,-0.15,0.0,133.820353,-67.2653621,184.031,1.027,-1.017,7.83,0.03,-0.03,5.253,0.026,-0.026,7.5144,0.000269,-0.000269
1132,HD 77338 b,1,1,2012,0,5.7361,0.0015,-0.0015,0.0,0.06,0.0,0.0,0.0,4.12,0.28,-0.22,0.0,0.368,0.025,-0.02,0.0,15.9,4.7,-5.3,0.0,0.05,0.015,-0.017,0.0,4,0.09,0.22,-0.22,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5341.0,31.0,-31.0,0.0,0.97,0.02,-0.02,0.0,1.37,0.32,-0.32,0.0,0.32,0.1,-0.1,0.0,1.0,4.6,0.1,-0.1,0.0,135.3022475,-25.5282343,45.935,0.0753,-0.0751,8.63,0.03,-0.03,6.761,0.016,-0.016,8.40992,0.000262,-0.000262
1133,HD 79181 b,1,1,2021,0,273.1,1.3,-0.4,0.0,0.9,0.07,-0.08,0.0,14.1,0.28,-0.22,0.0,1.26,0.025,-0.02,0.0,203.41018,19.0697,-50.85255,0.0,0.64,0.06,-0.16,0.0,3,0.259,0.067,-0.206,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4862.0,88.0,-88.0,0.0,11.06,0.44,-0.43,0.0,1.28,0.32,-0.28,0.0,-0.28,0.08,-0.09,0.0,1.0,2.45,0.09,-0.07,0.0,137.9944736,-19.7474341,103.335,0.995,-0.995,5.72,0.03,-0.03,3.54,0.242,-0.242,5.45292,0.0021329,-0.0021329
1134,HD 7924 b,1,3,2008,0,5.39792,0.00025,-0.00025,0.0,0.06,0.0,0.0,0.0,2.4,0.28,-0.22,0.0,0.214,0.025,-0.02,0.0,6.3566,0.0,0.0,0.0,0.02,0.0,0.0,0.0,3,0.06,0.05,-0.05,0.0,113.7,3.7,-3.6,0.0,826.0,7.0,-6.0,0.0,0,5131.0,14.0,-14.0,0.0,0.78,0.01,-0.01,0.0,0.65,0.05,-0.05,0.0,-0.21,0.1,-0.1,0.0,1.0,4.46,0.03,-0.03,0.0,20.4956562,76.7101475,16.9922,0.0072,-0.0072,7.17896,0.023,-0.023,5.159,0.02,-0.02,6.92516,0.000196,-0.000196
1135,HD 7924 c,1,3,2015,0,15.299,0.0032,-0.0033,0.0,0.1134,0.0013,-0.0014,0.0,2.72,0.28,-0.22,0.0,0.243,0.025,-0.02,0.0,7.86,0.73,-0.71,0.0,0.02473,0.0023,-0.00223,0.0,3,0.098,0.096,-0.069,0.0,28.35,0.92,-0.89,0.0,584.0,5.0,-5.0,0.0,0,5075.0,83.0,-83.0,0.0,0.78,0.03,-0.03,0.0,0.83,0.02,-0.04,0.0,-0.15,0.03,-0.03,0.0,1.0,4.59,0.02,-0.03,0.0,20.4956562,76.7101475,16.9922,0.0072,-0.0072,7.17896,0.023,-0.023,5.159,0.02,-0.02,6.92516,0.000196,-0.000196
1136,HD 7924 d,1,3,2015,0,24.451,0.015,-0.017,0.0,0.1551,0.0018,-0.0019,0.0,2.42,0.28,-0.22,0.0,0.216,0.025,-0.02,0.0,6.44,0.79,-0.78,0.0,0.02026,0.00249,-0.00245,0.0,3,0.21,0.13,-0.12,0.0,15.17,0.49,-0.48,0.0,499.0,4.0,-4.0,0.0,0,5075.0,83.0,-83.0,0.0,0.78,0.03,-0.03,0.0,0.83,0.02,-0.04,0.0,-0.15,0.03,-0.03,0.0,1.0,4.59,0.02,-0.03,0.0,20.4956562,76.7101475,16.9922,0.0072,-0.0072,7.17896,0.023,-0.023,5.159,0.02,-0.02,6.92516,0.000196,-0.000196
1137,HD 79498 b,2,1,2011,0,1807.0,15.0,-15.0,0.0,2.98,0.15,-0.15,0.0,13.6,0.28,-0.22,0.0,1.22,0.025,-0.02,0.0,425.8922,66.7443,-66.7443,0.0,1.34,0.21,-0.21,0.0,3,0.575,0.023,-0.023,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5748.0,88.0,-88.0,0.0,1.05,0.04,-0.04,0.0,1.08,0.15,-0.15,0.0,0.18,0.1,-0.1,0.0,1.0,4.37,0.12,-0.12,0.0,138.7885794,23.3748792,48.9489,0.1776,-0.1763,8.05,0.03,-0.03,6.53,0.017,-0.017,7.8859,0.000364,-0.000364
1138,HD 80606 b,2,1,2001,0,111.4367,0.0004,-0.0004,0.0,0.4565,0.0051,-0.0053,0.0,11.994,0.336,-0.336,0.0,1.07,0.03,-0.03,0.0,1392.0954,235.1942,-235.1942,0.0,4.38,0.74,-0.74,0.0,4,0.93,0.0,0.0,0.0,98.435,6.43,-5.6,0.0,405.0,7.0,-7.0,0.0,0,5561.0,24.0,-24.0,0.0,1.04,0.02,-0.02,0.0,1.15,0.27,-0.27,0.0,0.35,0.1,-0.1,0.0,1.0,4.42,0.02,-0.02,0.0,140.6569501,50.6037764,66.4711,0.1612,-0.1604,9.06,0.03,-0.03,7.316,0.02,-0.02,8.82008,0.000206,-0.000206
1139,HD 80653 b,1,2,2020,0,0.719573,2.1e-05,-2.1e-05,0.0,0.01661,0.00019,-0.00019,0.0,1.613,0.071,-0.071,0.0,0.144,0.006,-0.006,0.0,5.72,0.36,-0.35,0.0,0.018,0.00113,-0.0011,0.0,4,0.0,0.05,-0.042,0.0,6130.0,310.0,-310.0,0.0,2463.0,30.0,-30.0,0.0,0,5959.0,61.0,-61.0,0.0,1.22,0.01,-0.01,0.0,1.18,0.04,-0.04,0.0,0.255,0.065,-0.065,0.0,1.0,4.34,0.02,-0.02,0.0,140.3390845,14.3678691,109.86,0.811,-0.8,9.452,0.003,-0.003,8.018,0.021,-0.021,9.30733,0.000346,-0.000346
1140,HD 80869 b,1,1,2021,0,1752.92067,37.0165,-33.60283,0.0,2.905,0.127,-0.131,0.0,12.8,0.28,-0.22,0.0,1.15,0.025,-0.02,0.0,1609.80088,809.82678,-179.57305,0.0,5.065,2.548,-0.565,0.0,4,0.924,0.053,-0.094,0.0,0.14,0.01,-0.01,0.0,203.0,7.0,-6.0,0.0,0,5837.0,15.0,-15.0,0.0,1.06,0.04,-0.04,0.0,1.06,0.13,-0.13,0.0,0.17,0.01,-0.01,0.0,1.0,4.18,0.03,-0.03,0.0,140.7912931,33.9048294,85.3951,0.5374,-0.5308,8.48,0.03,-0.03,6.914,0.021,-0.021,8.33173,0.000228,-0.000228
1141,HD 80883 b,1,1,2022,0,6383.78352,2891.20808,-1084.85967,0.0,6.462,1.843,-0.804,0.0,12.8,0.28,-0.22,0.0,1.14,0.025,-0.02,0.0,1748.05624,390.92894,-335.6268,0.0,5.5,1.23,-1.056,0.0,4,0.203,0.185,-0.121,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5177.91,157.12,-125.08,0.0,0.81,0.06,-0.05,0.0,0.88,0.11,-0.11,0.0,-0.264,0.017,-0.017,0.0,2.0,4.56,0.09,-0.1,0.0,139.9331831,-59.4780815,34.6011,0.0576,-0.0574,8.6,0.03,-0.03,6.469,0.021,-0.021,8.3618,0.000527,-0.000527
1142,HD 80913 b,1,1,2022,0,10839.83341,2660.45783,-1973.20021,0.0,9.95,1.683,-1.41,0.0,12.0,0.28,-0.22,0.0,1.07,0.025,-0.02,0.0,7505.2,1142.27529,-1227.13548,0.0,23.614,3.594,-3.861,0.0,4,0.313,0.152,-0.131,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6013.24,91.58,-118.71,0.0,1.65,0.08,-0.05,0.0,1.11,0.14,-0.14,0.0,-0.68,0.03,-0.03,0.0,2.0,4.05,0.08,-0.06,0.0,138.1021548,-81.768451,61.3603,0.0839,-0.0837,7.49,0.03,-0.03,6.072,0.024,-0.024,7.33567,0.000246,-0.000246
1143,HD 81040 b,1,1,2005,0,1005.98854,7.62637,-6.37242,0.0,1.988,0.076,-0.081,0.0,12.7,0.28,-0.22,0.0,1.13,0.025,-0.02,0.0,2151.06266,349.92908,-273.65026,0.0,6.768,1.101,-0.861,0.0,4,0.557,0.046,-0.067,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5755.0,20.0,-20.0,0.0,0.91,0.01,-0.01,0.0,1.03,0.12,-0.12,0.0,-0.04,0.05,-0.05,0.0,1.0,4.54,0.08,-0.08,0.0,140.9455027,20.3646078,34.4341,0.0777,-0.0773,7.72,0.03,-0.03,6.159,0.021,-0.021,7.55543,0.000329,-0.000329
1144,HD 81688 b,1,1,2007,0,184.02,0.18,-0.18,0.0,0.81,0.003,-0.003,0.0,13.2,0.28,-0.22,0.0,1.18,0.025,-0.02,0.0,858.1,20.65895,-19.443815,0.0,2.7,0.066,-0.06055,0.0,3,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4753.0,15.0,-15.0,0.0,13.0,0.06,-0.05,0.0,2.1,0.05,-0.05,0.0,-0.359,0.02,-0.02,0.0,1.0,2.22,0.05,-0.05,0.0,142.1665753,45.6009241,85.7183,0.78695,-0.78695,5.39755,0.023,-0.023,3.056,0.352,-0.352,5.12598,0.0027257,-0.0027257
1145,HD 81817 b,1,2,2020,0,1021.20159,13.8837,-9.8913,0.0,3.233,0.125,-0.131,0.0,12.0,0.28,-0.22,0.0,1.07,0.025,-0.02,0.0,7668.5638,3097.87348,-219.61943,0.0,24.128,9.747,-0.691,0.0,4,0.097,0.09,-0.057,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4140.0,55.0,-55.0,0.0,83.8,7.8,-7.8,0.0,4.3,0.5,-0.5,0.0,-0.17,0.1,-0.1,0.0,1.0,1.3,0.2,-0.2,0.0,144.2715659,81.3263096,269.126,23.237,-19.865,4.26489,0.023,-0.023,0.779,0.232,-0.232,3.80122,0.0070948,-0.0070948
1146,HD 81817 c,1,2,2022,0,622.97802,2.01914,-2.12035,0.0,2.325,0.087,-0.095,0.0,12.0,0.28,-0.22,0.0,1.07,0.025,-0.02,0.0,7185.78245,590.84301,-596.24609,0.0,22.609,1.859,-1.876,0.0,3,0.095,0.058,-0.044,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4043.33,56.42,-20.0,0.0,109.46,1.09,-2.99,0.0,4.3,0.5,-0.5,0.0,-0.17,0.1,-0.1,0.0,1.0,1.3,0.2,-0.2,0.0,144.2715659,81.3263096,269.126,23.237,-19.865,4.26489,0.023,-0.023,0.779,0.232,-0.232,3.80122,0.0070948,-0.0070948
1147,HD 82886 b,1,1,2011,0,705.0,34.0,-34.0,0.0,1.58,0.08,-0.08,0.0,13.3,0.28,-0.22,0.0,1.19,0.025,-0.02,0.0,740.5439,104.8839,-104.8839,0.0,2.33,0.33,-0.33,0.0,3,0.07,0.17,-0.17,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4953.0,123.0,-123.0,0.0,5.26,0.31,-0.31,0.0,2.53,0.46,-0.46,0.0,-0.31,0.1,-0.1,0.0,1.0,3.4,0.06,-0.06,0.0,143.9383526,34.7805902,127.061,1.122,-1.103,7.62,0.03,-0.03,5.452,0.018,-0.018,7.38096,0.000204,-0.000204
1148,HD 82943 b,1,2,2003,0,441.47,0.35,-0.35,0.0,1.18306,0.00062,-0.00062,0.0,13.5,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,534.25,8.899,-8.899,0.0,1.681,0.028,-0.028,0.0,4,0.162,0.036,-0.036,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5935.0,124.44,-144.14,0.0,1.18,0.07,-0.05,0.0,1.08,0.12,-0.15,0.0,0.26,0.1,-0.1,0.0,2.0,4.33,0.09,-0.07,0.0,143.7114034,-12.1302976,27.5902,0.0291,-0.029,6.54993,0.023,-0.023,5.105,0.018,-0.018,6.38964,0.000646,-0.000646
1149,HD 82943 c,1,2,2003,0,220.078,0.051,-0.051,0.0,0.74345,0.00012,-0.00012,0.0,13.4,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,622.603,14.937,-14.937,0.0,1.959,0.047,-0.047,0.0,4,0.3663,0.0097,-0.0097,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5935.0,124.44,-144.14,0.0,1.18,0.07,-0.05,0.0,1.08,0.12,-0.15,0.0,0.26,0.1,-0.1,0.0,2.0,4.33,0.09,-0.07,0.0,143.7114034,-12.1302976,27.5902,0.0291,-0.029,6.54993,0.023,-0.023,5.105,0.018,-0.018,6.38964,0.000646,-0.000646
1150,HD 8326 b,1,1,2019,0,158.991,1.44,-1.44,0.0,0.533,0.011,-0.011,0.0,9.58,0.28,-0.22,0.0,0.855,0.025,-0.02,0.0,66.6,19.6,-19.6,0.0,0.20955,0.06167,-0.06167,0.0,3,0.2,0.11,-0.11,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4914.0,51.0,-32.0,0.0,0.78,0.01,-0.02,0.0,0.8,0.05,-0.05,0.0,0.04,0.023,-0.023,0.0,2.0,4.55,0.07,-0.12,0.0,20.5314418,-26.8940678,30.6862,0.0442,-0.0441,8.76,0.03,-0.03,6.504,0.02,-0.02,8.47487,0.000365,-0.000365
1151,HD 83443 b,1,2,2002,0,2.985628,5e-06,-5e-06,0.0,0.0406,0.0004,-0.0004,0.0,14.1,0.28,-0.22,0.0,1.25,0.025,-0.02,0.0,127.76702,2.54263,-2.54263,0.0,0.402,0.008,-0.008,0.0,3,0.012,0.007,-0.006,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5442.0,17.0,-17.0,0.0,0.94,0.02,-0.02,0.0,1.0,0.03,-0.03,0.0,0.34,0.03,-0.03,0.0,1.0,4.39,0.04,-0.04,0.0,144.2994103,-43.272721,40.8991,0.0628,-0.0626,8.23,0.03,-0.03,6.444,0.02,-0.02,8.0265,0.000265,-0.000265
1152,HD 83443 c,1,2,2022,0,8241.0,1019.0,-530.0,0.0,8.0,0.8,-0.8,0.0,13.6,0.28,-0.22,0.0,1.21,0.025,-0.02,0.0,476.74261,158.9142,-63.56568,0.0,1.5,0.5,-0.2,0.0,4,0.76,0.046,-0.047,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5442.0,17.0,-17.0,0.0,0.94,0.02,-0.02,0.0,1.0,0.03,-0.03,0.0,0.34,0.03,-0.03,0.0,1.0,4.39,0.04,-0.04,0.0,144.2994103,-43.272721,40.8991,0.0628,-0.0626,8.23,0.03,-0.03,6.444,0.02,-0.02,8.0265,0.000265,-0.000265
1153,HD 8535 b,2,1,2010,0,1313.0,28.0,-28.0,0.0,2.45,0.04,-0.06,0.0,14.0,0.28,-0.22,0.0,1.25,0.025,-0.02,0.0,216.1244,22.2481,-12.7132,0.0,0.68,0.07,-0.04,0.0,3,0.15,0.09,-0.05,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6136.0,18.0,-18.0,0.0,1.19,0.04,-0.04,0.0,1.13,0.05,-0.05,0.0,0.06,0.02,-0.02,0.0,1.0,4.46,0.06,-0.06,0.0,20.9054804,-41.2701007,55.4401,0.0961,-0.0957,7.7,0.03,-0.03,6.354,0.021,-0.021,7.56066,0.00019,-0.00019
1154,HD 85390 b,1,1,2009,0,799.52,2.41,-2.41,0.0,1.373,0.035,-0.035,0.0,6.16,0.28,-0.22,0.0,0.55,0.025,-0.02,0.0,31.46517,3.1783,-3.1783,0.0,0.099,0.01,-0.01,0.0,3,0.5,0.05,-0.05,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5186.0,88.0,-88.0,0.0,0.8,0.01,-0.01,0.0,0.76,0.05,-0.05,0.0,-0.07,0.03,-0.03,0.0,1.0,4.41,0.06,-0.08,0.0,147.5105663,-49.7905254,33.5225,0.043,-0.0429,8.54,0.03,-0.03,6.491,0.023,-0.023,8.29462,0.000452,-0.000452
1155,HD 85512 b,1,1,2011,0,58.43,0.13,-0.13,0.0,0.26,0.0,0.0,0.0,1.72,0.28,-0.22,0.0,0.153,0.025,-0.02,0.0,3.6,0.5,-0.5,0.0,0.011,0.002,-0.002,0.0,2,0.11,0.1,-0.1,0.0,98.435,6.43,-5.6,0.0,298.0,21.0,-21.0,0.0,0,4300.0,45.0,-45.0,0.0,0.71,0.02,-0.02,0.0,0.43,0.1,-0.1,0.0,-0.26,0.1,-0.1,0.0,1.0,4.36,0.1,-0.1,0.0,147.7821226,-43.5048162,11.281,0.0052,-0.0052,7.67,0.03,-0.03,4.717,0.021,-0.021,7.18726,0.000345,-0.000345
1156,HD 8574 b,1,1,2002,0,227.0,0.2,-0.2,0.0,0.76,0.01,-0.01,0.0,13.4,0.28,-0.22,0.0,1.19,0.025,-0.02,0.0,645.1949,44.4962,-44.4962,0.0,2.03,0.14,-0.14,0.0,3,0.3,0.03,-0.03,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,6064.0,14.0,-14.0,0.0,1.38,0.02,-0.02,0.0,1.34,0.12,-0.12,0.0,0.01,0.1,-0.1,0.0,1.0,4.28,0.04,-0.04,0.0,21.3033807,28.5660169,44.8264,0.094,-0.0936,7.12,0.03,-0.03,5.784,0.023,-0.023,6.98345,0.000365,-0.000365
