Planet Name
Kepler-673 b
HD 154345 b
Kepler-250 b
LP 791-18 c
HD 40307 b
HD 120084 b
Kepler-876 b
Kepler-1710 b
HD 98649 b
Kepler-137 c
Kepler-147 c
K2-254 c
Kepler-265 b
Kepler-266 b
GJ 581 e
Kepler-402 b
Kepler-914 b
Kepler-1128 b
TOI-2818 b
KOI-351 h
Kepler-227 b
Kepler-352 c
Kepler-240 c
Kepler-1589 b
KELT-15 b
HIP 41378 f
Kepler-931 b
WASP-97 b
Kepler-1182 b
Kepler-1782 b
HD 222582 b
K2-107 b
WASP-59 b
K2-354 b
K2-265 b
HD 20781 e
HAT-P-49 b
EPIC 201757695.02
GJ 96 b
K2-286 b
HD 37124 c
HAT-P-70 b
Kepler-132 e
HD 181433 c
Kepler-318 b
Kepler-241 b
Kepler-153 c
OGLE-2006-BLG-109L c
K2-180 b
Kepler-39 b
MOA-bin-1L b
Kepler-1001 c
Kepler-1618 b
Kepler-785 b
MOA-2009-BLG-387L b
Kepler-1761 b
WASP-28 b
BD+48 740 b
CFBDSIR J145829+101343 b
HD 192310 b
Kepler-458 c
HD 190360 c
Kepler-1388 c
Kepler-1443 b
Kepler-1208 b
NGTS-6 b
Kepler-1965 b
Kepler-1781 b
Kepler-1682 b
Kepler-676 b
HD 224693 b
Kepler-1171 b
Kepler-179 c
TOI-519 b
HIP 67522 b
Kepler-603 c
Kepler-1826 b
HD 93351 c
Kepler-60 d
Kepler-863 b
HATS-63 b
Kepler-265 c
Kepler-508 b
Kepler-1641 b
WASP-168 b
HD 48265 b
TOI-1468 c
Kepler-740 b
Kepler-1481 b
Kepler-474 b
Kepler-353 c
TOI-784 b
WASP-63 b
Kepler-336 b
K2-248 b
Kepler-915 b
Kepler-200 c
Kepler-106 c
Kepler-80 g
Kepler-1497 b
Kepler-82 d
OGLE-2012-BLG-0358L b
18 Del b
HD 156411 b
Kepler-1010 b
Kepler-192 b
TOI-2459 b
Kepler-1667 b
Kepler-707 b
Kepler-182 b
WASP-22 b
HD 5278 c
Kepler-193 b
Kepler-1226 b
K2-227 b
Kepler-550 b
KOI-12 b
Kepler-896 b
Kepler-1066 b
Kepler-747 b
Kepler-329 c
Kepler-1295 b
HD 76700 b
K2-219 b
TOI-1670 b
TOI-2411 b
Kepler-226 b
GJ 3293 b
TOI-3693 b
BD+03 2562 b
HD 12661 c
HIP 41378 e
Kepler-755 b
WASP-189 b
TOI-1266 b
Kepler-1256 b
GJ 625 b
HD 69830 b
Kepler-1004 b
HATS-10 b
Kepler-565 b
Kepler-359 b
Kepler-223 c
OGLE-2017-BLG-1099L b
K2-291 b
Kepler-183 c
GJ 273 b
HD 224538 b
HR 858 d
Kepler-607 c
MOA-bin-29 b
KMT-2018-BLG-1743L b
Kepler-867 b
Kepler-260 b
HD 28254 b
KELT-24 b
Kepler-111 b
HAT-P-23 b
Kepler-684 b
Kepler-269 c
Kepler-333 b
K2-91 b
Kepler-760 c
Kepler-1917 b
WASP-73 b
Kepler-1543 b
Kepler-1955 b
Kepler-1890 b
Kepler-55 e
Kepler-642 b
K2-155 c
EPIC 249893012 d
OGLE-2007-BLG-349L AB c
Kepler-52 b
Kepler-1747 b
OGLE-TR-113 b
Kepler-1018 b
Kepler-1684 b
Kepler-1074 b
Kepler-210 c
Kepler-49 d
Kepler-416 b
11 Com b
Kepler-1173 b
K2-148 d
Kepler-567 b
Kepler-1562 b
Kepler-1549 b
HATS-22 b
WASP-163 b
Kepler-1675 b
KIC 7917485 b
Kepler-1850 b
Kepler-761 b
HD 203030 b
K2-308 b
