Unnamed: 0,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag.1,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
3,1,2,2002,0,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,12.6,0.28,-0.22,0.0,1.12,0.025,-0.02,0.0,2559.47216,518.69596,-280.64248,0.0,8.053,1.632,-0.883,0.0,4,0.373,0.008,-0.006,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,1.0,4.45,0.02,-0.02,0.0,242.6021014,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
4170,1,1,2016,0,14.03491514,2.597e-05,-2.597e-05,0.0,0.1027,0.003,-0.003,0.0,2.39,0.2,-0.17,0.0,0.213,0.018,-0.015,0.0,6.3,20.65895,-19.443815,0.0,0.0198,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,37.2,1.17,-1.13,0.0,641.0,21.0,-21.0,0.0,0,5268.0,186.36,-125.95,0.0,0.81,0.07,-0.05,0.0,0.85,0.05,-0.05,0.0,-0.07,0.15,-0.169,0.0,1.0,4.55,0.04,-0.07,0.0,298.3848866,46.2759867,527.995,5.8805,-5.8805,14.81,0.069,-0.069,12.662,0.023,-0.023,14.5441,0.000281,-0.000281
467,1,6,2010,0,2205.0,105.9,-105.9,0.0,3.381,0.121,-0.121,0.0,9.4,0.28,-0.22,0.0,0.838,0.025,-0.02,0.0,64.4,4.6,-4.6,0.0,0.203,0.014,-0.014,0.0,2,0.095,0.086,-0.086,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,1.0,4.39,0.03,-0.03,0.0,24.4731133,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183
5,1,1,2020,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,12.9,0.28,-0.22,0.0,1.15,0.025,-0.02,0.0,1373.01872,47.67426,-38.13941,0.0,4.32,0.15,-0.12,0.0,3,0.06,0.03,-0.02,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,1.0,1.7,0.04,-0.06,0.0,243.4620874,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055
919,2,1,2018,0,2058.0,47.0,-40.0,0.0,2.827,0.045,-0.039,0.0,13.5,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,565.7374,25.4264,-19.0698,0.0,1.78,0.08,-0.06,0.0,3,0.359,0.046,-0.039,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4981.0,31.0,-31.0,0.0,0.68,0.03,-0.03,0.0,0.71,0.02,-0.02,0.0,-0.66,0.1,-0.1,0.0,1.0,4.49,0.06,-0.06,0.0,171.5196515,50.3763099,58.742,0.2626,-0.2602,10.15,0.03,-0.03,8.013,0.02,-0.02,9.94557,0.000508,-0.000508
2595,1,1,2016,0,82.294751,0.001799,-0.001799,0.0,0.3679,0.003,-0.003,0.0,1.77,0.23,-0.18,0.0,0.158,0.021,-0.016,0.0,3.78,20.65895,-19.443815,0.0,0.0119,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,11.89,0.74,-0.69,0.0,400.0,21.0,-21.0,0.0,0,5655.0,76.91,-64.04,0.0,0.9,0.11,-0.07,0.0,0.93,0.05,-0.06,0.0,-0.13,0.174,-0.192,0.0,1.0,4.51,0.05,-0.11,0.0,281.2957984,44.4654063,1283.05,36.07,-34.18,14.983,0.057,-0.057,13.247,0.029,-0.029,14.8084,0.000336,-0.000336
4324,1,1,2016,0,3.60147201,5.43e-06,-5.43e-06,0.0,0.0428,0.003,-0.003,0.0,2.93,0.17,-0.53,0.0,0.261,0.015,-0.047,0.0,8.91,20.65895,-19.443815,0.0,0.028,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,233.03,19.5,-17.79,0.0,996.0,21.0,-21.0,0.0,0,5217.0,50.31,-50.86,0.0,0.81,0.05,-0.04,0.0,0.86,0.04,-0.05,0.0,0.03,0.174,-0.184,0.0,1.0,4.56,0.03,-0.06,0.0,285.3913092,46.1809293,1005.43,33.9,-31.786,15.809,0.115,-0.115,13.82,0.051,-0.051,15.7425,0.000483,-0.000483
1063,1,2,2021,0,14.339156,4.9e-05,-4.7e-05,0.0,0.1202,0.0013,-0.0013,0.0,2.45,0.05,-0.05,0.0,0.219,0.004,-0.004,0.0,7.8,1.5,-1.4,0.0,0.02454,0.00472,-0.0044,0.0,4,0.08,0.09,-0.05,0.0,132.0,5.0,-5.0,0.0,943.0,13.0,-13.0,0.0,0,6203.0,64.0,-64.0,0.0,1.19,0.02,-0.02,0.0,1.13,0.04,-0.04,0.0,-0.12,0.04,-0.04,0.0,1.0,4.5,0.11,-0.11,0.0,12.5467785,-83.7437671,57.5846,0.0947,-0.0943,7.94,0.03,-0.03,6.605,0.027,-0.027,7.80375,0.00027,-0.00027
2590,1,1,2016,0,54.6495759,0.0009825,-0.0009825,0.0,0.2846,0.003,-0.003,0.0,2.32,0.58,-0.29,0.0,0.207,0.052,-0.026,0.0,5.99,20.65895,-19.443815,0.0,0.0189,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,22.37,2.57,-2.25,0.0,538.0,21.0,-21.0,0.0,0,5965.0,147.55,-160.68,0.0,1.12,0.27,-0.12,0.0,1.08,0.09,-0.07,0.0,0.06,0.138,-0.141,0.0,1.0,4.38,0.09,-0.17,0.0,290.5903907,45.4396955,1769.14,92.29,-83.74,15.317,0.126,-0.126,13.896,0.049,-0.049,15.2937,0.000378,-0.000378
242,1,1,2018,0,3.0232,0.0013,-0.0013,0.0,0.026,0.001,-0.001,0.0,2.75,0.28,-0.22,0.0,0.245,0.025,-0.02,0.0,8.0,0.5,-0.5,0.0,0.02517,0.00157,-0.00157,0.0,3,0.07,0.05,-0.05,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,3324.0,51.0,-51.0,0.0,0.28,0.01,-0.01,0.0,0.27,0.02,-0.02,0.0,0.0,0.16,-0.16,0.0,1.0,5.05,0.07,-0.07,0.0,200.7335358,24.4639425,13.743,0.0117,-0.0116,13.04,0.2,-0.2,7.957,0.033,-0.033,11.6266,0.000806,-0.000806
